# Character-class data read out of the oracle's own ICU 78.2 (Unicode 17.0),
# which the built pdfium_test statically links. Three tables, each a list of
# inclusive code-point ranges in ascending order, one range per line:
#
#   [alpha]  START END          u_isalpha(cp) is true across the range
#   [alnum]  START END          u_isalnum(cp) is true across the range
#   [lower]  START END DELTA    u_tolower(cp) == cp + DELTA across the range
#
# All values are hexadecimal except DELTA, which is signed decimal. A code
# point in no range is non-alphabetic, non-alphanumeric, and maps to itself.
# See PROVENANCE.md for the probe that produced this.

[alpha] 684
0184 0184 1
0186 0186 206
0187 0187 1
0189 018A 205
018B 018B 1
018E 018E 79
018F 018F 202
0190 0190 203
0191 0191 1
0193 0193 205
0194 0194 207
0196 0196 211
0197 0197 209
0198 0198 1
019C 019C 211
019D 019D 213
019F 019F 214
01A0 01A0 1
01A2 01A2 1
01A4 01A4 1
01A6 01A6 218
01A7 01A7 1
01A9 01A9 218
01AC 01AC 1
01AE 01AE 218
01AF 01AF 1
01B1 01B2 217
01B3 01B3 1
01B5 01B5 1
01B7 01B7 219
01B8 01B8 1
01BC 01BC 1
01C4 01C4 2
01C5 01C5 1
01C7 01C7 2
01C8 01C8 1
01CA 01CA 2
01CB 01CB 1
01CD 01CD 1
01CF 01CF 1
01D1 01D1 1
01D3 01D3 1
01D5 01D5 1
01D7 01D7 1
01D9 01D9 1
01DB 01DB 1
01DE 01DE 1
01E0 01E0 1
01E2 01E2 1
01E4 01E4 1
01E6 01E6 1
01E8 01E8 1
01EA 01EA 1
01EC 01EC 1
01EE 01EE 1
01F1 01F1 2
01F2 01F2 1
01F4 01F4 1
01F6 01F6 -97
01F7 01F7 -56
01F8 01F8 1
01FA 01FA 1
01FC 01FC 1
01FE 01FE 1
0200 0200 1
0202 0202 1
0204 0204 1
0206 0206 1
0208 0208 1
020A 020A 1
020C 020C 1
020E 020E 1
0210 0210 1
0212 0212 1
0214 0214 1
0216 0216 1
0218 0218 1
021A 021A 1
021C 021C 1
021E 021E 1
0220 0220 -130
0222 0222 1
0224 0224 1
0226 0226 1
0228 0228 1
022A 022A 1
022C 022C 1
022E 022E 1
0230 0230 1
0232 0232 1
023A 023A 10795
023B 023B 1
023D 023D -163
023E 023E 10792
0241 0241 1
0243 0243 -195
0244 0244 69
0245 0245 71
0246 0246 1
0248 0248 1
024A 024A 1
024C 024C 1
024E 024E 1
0370 0370 1
0372 0372 1
0376 0376 1
037F 037F 116
0386 0386 38
0388 038A 37
038C 038C 64
038E 038F 63
0391 03A1 32
03A3 03AB 32
03CF 03CF 8
03D8 03D8 1
03DA 03DA 1
03DC 03DC 1
03DE 03DE 1
03E0 03E0 1
03E2 03E2 1
03E4 03E4 1
03E6 03E6 1
03E8 03E8 1
03EA 03EA 1
03EC 03EC 1
03EE 03EE 1
03F4 03F4 -60
03F7 03F7 1
03F9 03F9 -7
03FA 03FA 1
03FD 03FF -130
0400 040F 80
0410 042F 32
0460 0460 1
0462 0462 1
0464 0464 1
0466 0466 1
0468 0468 1
046A 046A 1
046C 046C 1
046E 046E 1
0470 0470 1
0472 0472 1
0474 0474 1
0476 0476 1
0478 0478 1
047A 047A 1
047C 047C 1
047E 047E 1
0480 0480 1
048A 048A 1
048C 048C 1
048E 048E 1
0490 0490 1
0492 0492 1
0494 0494 1
0496 0496 1
0498 0498 1
049A 049A 1
049C 049C 1
049E 049E 1
04A0 04A0 1
04A2 04A2 1
04A4 04A4 1
04A6 04A6 1
04A8 04A8 1
04AA 04AA 1
04AC 04AC 1
04AE 04AE 1
04B0 04B0 1
04B2 04B2 1
04B4 04B4 1
04B6 04B6 1
04B8 04B8 1
04BA 04BA 1
04BC 04BC 1
04BE 04BE 1
04C0 04C0 15
04C1 04C1 1
04C3 04C3 1
04C5 04C5 1
04C7 04C7 1
04C9 04C9 1
04CB 04CB 1
04CD 04CD 1
04D0 04D0 1
04D2 04D2 1
04D4 04D4 1
04D6 04D6 1
04D8 04D8 1
04DA 04DA 1
04DC 04DC 1
04DE 04DE 1
04E0 04E0 1
04E2 04E2 1
04E4 04E4 1
04E6 04E6 1
04E8 04E8 1
04EA 04EA 1
04EC 04EC 1
04EE 04EE 1
04F0 04F0 1
04F2 04F2 1
04F4 04F4 1
04F6 04F6 1
04F8 04F8 1
04FA 04FA 1
04FC 04FC 1
04FE 04FE 1
0500 0500 1
0502 0502 1
0504 0504 1
0506 0506 1
0508 0508 1
050A 050A 1
050C 050C 1
050E 050E 1
0510 0510 1
0512 0512 1
0514 0514 1
0516 0516 1
0518 0518 1
051A 051A 1
051C 051C 1
051E 051E 1
0520 0520 1
0522 0522 1
0524 0524 1
0526 0526 1
0528 0528 1
052A 052A 1
052C 052C 1
052E 052E 1
0531 0556 48
10A0 10C5 7264
10C7 10C7 7264
10CD 10CD 7264
13A0 13EF 38864
13F0 13F5 8
1C89 1C89 1
1C90 1CBA -3008
1CBD 1CBF -3008
1E00 1E00 1
1E02 1E02 1
1E04 1E04 1
1E06 1E06 1
1E08 1E08 1
1E0A 1E0A 1
1E0C 1E0C 1
1E0E 1E0E 1
1E10 1E10 1
1E12 1E12 1
1E14 1E14 1
1E16 1E16 1
1E18 1E18 1
1E1A 1E1A 1
1E1C 1E1C 1
1E1E 1E1E 1
1E20 1E20 1
1E22 1E22 1
1E24 1E24 1
1E26 1E26 1
1E28 1E28 1
1E2A 1E2A 1
1E2C 1E2C 1
1E2E 1E2E 1
1E30 1E30 1
1E32 1E32 1
1E34 1E34 1
1E36 1E36 1
1E38 1E38 1
1E3A 1E3A 1
1E3C 1E3C 1
1E3E 1E3E 1
1E40 1E40 1
1E42 1E42 1
1E44 1E44 1
1E46 1E46 1
1E48 1E48 1
1E4A 1E4A 1
1E4C 1E4C 1
1E4E 1E4E 1
1E50 1E50 1
1E52 1E52 1
1E54 1E54 1
1E56 1E56 1
1E58 1E58 1
1E5A 1E5A 1
1E5C 1E5C 1
1E5E 1E5E 1
1E60 1E60 1
1E62 1E62 1
1E64 1E64 1
1E66 1E66 1
1E68 1E68 1
1E6A 1E6A 1
1E6C 1E6C 1
1E6E 1E6E 1
1E70 1E70 1
1E72 1E72 1
1E74 1E74 1
1E76 1E76 1
1E78 1E78 1
1E7A 1E7A 1
1E7C 1E7C 1
1E7E 1E7E 1
1E80 1E80 1
1E82 1E82 1
1E84 1E84 1
1E86 1E86 1
1E88 1E88 1
1E8A 1E8A 1
1E8C 1E8C 1
1E8E 1E8E 1
1E90 1E90 1
1E92 1E92 1
1E94 1E94 1
1E9E 1E9E -7615
1EA0 1EA0 1
1EA2 1EA2 1
1EA4 1EA4 1
1EA6 1EA6 1
1EA8 1EA8 1
1EAA 1EAA 1
1EAC 1EAC 1
1EAE 1EAE 1
1EB0 1EB0 1
1EB2 1EB2 1
1EB4 1EB4 1
1EB6 1EB6 1
1EB8 1EB8 1
1EBA 1EBA 1
1EBC 1EBC 1
1EBE 1EBE 1
1EC0 1EC0 1
1EC2 1EC2 1
1EC4 1EC4 1
1EC6 1EC6 1
1EC8 1EC8 1
1ECA 1ECA 1
1ECC 1ECC 1
1ECE 1ECE 1
1ED0 1ED0 1
1ED2 1ED2 1
1ED4 1ED4 1
1ED6 1ED6 1
1ED8 1ED8 1
1EDA 1EDA 1
1EDC 1EDC 1
1EDE 1EDE 1
1EE0 1EE0 1
1EE2 1EE2 1
1EE4 1EE4 1
1EE6 1EE6 1
1EE8 1EE8 1
1EEA 1EEA 1
1EEC 1EEC 1
1EEE 1EEE 1
1EF0 1EF0 1
1EF2 1EF2 1
1EF4 1EF4 1
1EF6 1EF6 1
1EF8 1EF8 1
1EFA 1EFA 1
1EFC 1EFC 1
1EFE 1EFE 1
1F08 1F0F -8
1F18 1F1D -8
1F28 1F2F -8
1F38 1F3F -8
1F48 1F4D -8
1F59 1F59 -8
1F5B 1F5B -8
1F5D 1F5D -8
1F5F 1F5F -8
1F68 1F6F -8
1F88 1F8F -8
1F98 1F9F -8
1FA8 1FAF -8
1FB8 1FB9 -8
1FBA 1FBB -74
1FBC 1FBC -9
1FC8 1FCB -86
1FCC 1FCC -9
1FD8 1FD9 -8
1FDA 1FDB -100
1FE8 1FE9 -8
1FEA 1FEB -112
1FEC 1FEC -7
1FF8 1FF9 -128
1FFA 1FFB -126
1FFC 1FFC -9
2126 2126 -7517
212A 212A -8383
212B 212B -8262
2132 2132 28
2160 216F 16
2183 2183 1
24B6 24CF 26
2C00 2C2F 48
2C60 2C60 1
2C62 2C62 -10743
2C63 2C63 -3814
2C64 2C64 -10727
2C67 2C67 1
2C69 2C69 1
2C6B 2C6B 1
2C6D 2C6D -10780
2C6E 2C6E -10749
2C6F 2C6F -10783
2C70 2C70 -10782
2C72 2C72 1
2C75 2C75 1
2C7E 2C7F -10815
2C80 2C80 1
2C82 2C82 1
2C84 2C84 1
2C86 2C86 1
2C88 2C88 1
2C8A 2C8A 1
2C8C 2C8C 1
2C8E 2C8E 1
2C90 2C90 1
2C92 2C92 1
2C94 2C94 1
2C96 2C96 1
2C98 2C98 1
2C9A 2C9A 1
2C9C 2C9C 1
2C9E 2C9E 1
2CA0 2CA0 1
2CA2 2CA2 1
2CA4 2CA4 1
2CA6 2CA6 1
2CA8 2CA8 1
2CAA 2CAA 1
2CAC 2CAC 1
2CAE 2CAE 1
2CB0 2CB0 1
2CB2 2CB2 1
2CB4 2CB4 1
2CB6 2CB6 1
2CB8 2CB8 1
2CBA 2CBA 1
2CBC 2CBC 1
2CBE 2CBE 1
2CC0 2CC0 1
2CC2 2CC2 1
2CC4 2CC4 1
2CC6 2CC6 1
2CC8 2CC8 1
2CCA 2CCA 1
2CCC 2CCC 1
2CCE 2CCE 1
2CD0 2CD0 1
2CD2 2CD2 1
2CD4 2CD4 1
2CD6 2CD6 1
2CD8 2CD8 1
2CDA 2CDA 1
2CDC 2CDC 1
2CDE 2CDE 1
2CE0 2CE0 1
2CE2 2CE2 1
2CEB 2CEB 1
2CED 2CED 1
2CF2 2CF2 1
A640 A640 1
A642 A642 1
A644 A644 1
A646 A646 1
A648 A648 1
A64A A64A 1
A64C A64C 1
A64E A64E 1
A650 A650 1
A652 A652 1
A654 A654 1
A656 A656 1
A658 A658 1
A65A A65A 1
A65C A65C 1
A65E A65E 1
A660 A660 1
A662 A662 1
A664 A664 1
A666 A666 1
A668 A668 1
A66A A66A 1
A66C A66C 1
A680 A680 1
A682 A682 1
A684 A684 1
A686 A686 1
A688 A688 1
A68A A68A 1
A68C A68C 1
A68E A68E 1
A690 A690 1
A692 A692 1
A694 A694 1
A696 A696 1
A698 A698 1
A69A A69A 1
A722 A722 1
A724 A724 1
A726 A726 1
A728 A728 1
A72A A72A 1
A72C A72C 1
A72E A72E 1
A732 A732 1
A734 A734 1
A736 A736 1
A738 A738 1
A73A A73A 1
A73C A73C 1
A73E A73E 1
A740 A740 1
A742 A742 1
A744 A744 1
A746 A746 1
A748 A748 1
A74A A74A 1
A74C A74C 1
A74E A74E 1
A750 A750 1
A752 A752 1
A754 A754 1
A756 A756 1
A758 A758 1
A75A A75A 1
A75C A75C 1
A75E A75E 1
A760 A760 1
A762 A762 1
A764 A764 1
A766 A766 1
A768 A768 1
A76A A76A 1
A76C A76C 1
A76E A76E 1
A779 A779 1
A77B A77B 1
A77D A77D -35332
A77E A77E 1
A780 A780 1
A782 A782 1
A784 A784 1
A786 A786 1
A78B A78B 1
A78D A78D -42280
A790 A790 1
A792 A792 1
A796 A796 1
A798 A798 1
A79A A79A 1
A79C A79C 1
A79E A79E 1
A7A0 A7A0 1
A7A2 A7A2 1
A7A4 A7A4 1
A7A6 A7A6 1
A7A8 A7A8 1
A7AA A7AA -42308
A7AB A7AB -42319
A7AC A7AC -42315
A7AD A7AD -42305
A7AE A7AE -42308
A7B0 A7B0 -42258
A7B1 A7B1 -42282
A7B2 A7B2 -42261
A7B3 A7B3 928
A7B4 A7B4 1
A7B6 A7B6 1
A7B8 A7B8 1
A7BA A7BA 1
A7BC A7BC 1
A7BE A7BE 1
A7C0 A7C0 1
A7C2 A7C2 1
A7C4 A7C4 -48
A7C5 A7C5 -42307
A7C6 A7C6 -35384
A7C7 A7C7 1
A7C9 A7C9 1
A7CB A7CB -42343
A7CC A7CC 1
A7CE A7CE 1
A7D0 A7D0 1
A7D2 A7D2 1
A7D4 A7D4 1
A7D6 A7D6 1
A7D8 A7D8 1
A7DA A7DA 1
A7DC A7DC -42561
A7F5 A7F5 1
FF21 FF3A 32
10400 10427 40
104B0 104D3 40
10570 1057A 39
1057C 1058A 39
1058C 10592 39
10594 10595 39
10C80 10CB2 64
10D50 10D65 32
118A0 118BF 32
16E40 16E5F 32
16EA0 16EB8 27
1E900 1E921 34
